Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://www.co-ode.org/ontologies/ont.owl#affect_of,http://www.co-ode.org/ontologies/ont.owl#geneticInfluenceFactor,http://www.co-ode.org/ontologies/ont.owl#hasage,http://www.co-ode.org/ontologies/ont.owl#hasBMI,http://www.co-ode.org/ontologies/ont.owl#hasex,http://www.co-ode.org/ontologies/ont.owl#hasgeneticriskfactor,http://www.co-ode.org/ontologies/ont.owl#hasrace
http://www.co-ode.org/ontologies/ont.owl#Environmental_triggers_Asthma,Environmental_triggers_Asthma,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#genetic_predisposition_disease,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Tobacco_smoking_impact,Tobacco_smoking_impact,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#regulations_on_air_Quality,regulations_on_air_Quality,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#policy_governance_effect,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Thermal_comfort_in_home,Thermal_comfort_in_home,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Indoor_mold_growth,Indoor_mold_growth,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#High_fat_diet_Risk,High_fat_diet_Risk,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Lead_pipes_at_home,Lead_pipes_at_home,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Microplastic_drinking_Water,Microplastic_drinking_Water,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_toxins_home,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Exposure_to_hazards_lifestyle_factors,Exposure_to_hazards_lifestyle_factors,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Poor_ventilation_effects,Poor_ventilation_effects,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Poor_indoor_light_quality,Poor_indoor_light_quality,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Asthma,Asthma,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Respiratory_disease,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Agriculture_pesticide_Exposure,Agriculture_pesticide_Exposure,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_workplace,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Ocean_acidification,Ocean_acidification,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_global_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#regulations_on_water_quality,regulations_on_water_quality,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#policy_governance_effect,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Public_green_spaces,Public_green_spaces,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Community_resilience,Community_resilience,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#loss_of_urban_forest,loss_of_urban_forest,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Accessibility_to_green_space,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Exposure_to_toxins_workplace,Exposure_to_toxins_workplace,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Health_outcomes,Health_outcomes,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#At_the_macroenvironmental_level,At_the_macroenvironmental_level,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Extreme_weather_Events,Extreme_weather_Events,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_global_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Accessibility_to_green_space,Accessibility_to_green_space,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Indoor_heat_stress_in_workplace,Indoor_heat_stress_in_workplace,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_macroenvironmental_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Demographics,Demographics,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Desertification,Desertification,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_global_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Lead_pipes_community,Lead_pipes_community,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Rising_sea_level,Rising_sea_level,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_global_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Lung_cancer,Lung_cancer,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#toxin_induced_cancer_risk,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Accessibility_to_cleanstreets,Accessibility_to_cleanstreets,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Clean_sanitation_facility,Clean_sanitation_facility,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Physical_safety_measures_in_workplace,Physical_safety_measures_in_workplace,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_macroenvironmental_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Exposure_to_synthetic_materials,Exposure_to_synthetic_materials,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Organic_pollutants,Organic_pollutants,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Trans_boundary_pollution,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,At_the_mesoenvironmental_level,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Cultural_norms,Cultural_norms,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_macroenvironmental_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Radiation_from_electronics,Radiation_from_electronics,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Soil_pollution,Soil_pollution,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Trans_boundary_pollution,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,Environmental_Determinants_of_Health,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Accesbility_to_transportation,Accesbility_to_transportation,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Bio_diversity_loss,Bio_diversity_loss,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_global_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Access_to_nutritious_food,Access_to_nutritious_food,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Bronchitis,Bronchitis,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Respiratory_disease,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Climatic_changes,Climatic_changes,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Extreme_weather_Events,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Sedentary_lifestyle_consequence,Sedentary_lifestyle_consequence,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Marine_pollution,Marine_pollution,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Trans_boundary_pollution,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Community_sewage_management,Community_sewage_management,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#toxin_induced_cancer_risk,toxin_induced_cancer_risk,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Chronic_Disease,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Community_noise_pollution,Community_noise_pollution,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#accesibility_to_recreational_area,accesibility_to_recreational_area,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Built_in_environment,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,Local_community_infrastructre,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_microenvironmental_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Street_lighting_quality,Street_lighting_quality,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Arsenic_drinking_Water,Arsenic_drinking_Water,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_toxins_home,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#water_quality,water_quality,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#workplace_as_macroenvironment|http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Disaster_prepardness_in_urban_area,Disaster_prepardness_in_urban_area,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Community_resilience,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Carbon_monoxide_Exposure,Carbon_monoxide_Exposure,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Paint_chemical_inhalation,Paint_chemical_inhalation,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_workplace,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Bacterial_contamination_in_water_storage_tanks,Bacterial_contamination_in_water_storage_tanks,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,At_the_Individual_level,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Flood_control_mechanisms,Flood_control_mechanisms,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Factors_affecting_mobility,Factors_affecting_mobility,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Contaminants_in_public_water_source,Contaminants_in_public_water_source,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Waste_recycling_facilities,Waste_recycling_facilities,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Level_of_pollution,Level_of_pollution,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_mesoenvironmental_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#air_quality,air_quality,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#workplace_as_macroenvironment|http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Global_heat_Wave,Global_heat_Wave,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Extreme_weather_Events,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#At_the_global_level,At_the_global_level,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Environmental_Determinants_of_Health,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Social_Support_network,Social_Support_network,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Community_resilience,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#High_level_radon_home,High_level_radon_home,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_toxins_home,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Unregulated_cosmetic_use,Unregulated_cosmetic_use,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Indoor_air_purification,Indoor_air_purification,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,,,,,,,
http://www.co-ode.org/ontologies/ont.owl#Parks_and_recreational_facility_gaps,Parks_and_recreational_facility_gaps,,,FALSE,,,http://www.co-ode.org/ontologies/ont.owl#Accessibility_to_green_space,,,,,,,
